text,label,subset
"4.0 RECIPIENT agrees that it will not advise others that, the subject matter of this disclosure is known to OWNER or to others associated with OWNER. ",Confidentiality Clause,train
"2. The parties shall use the Confidential Information only for the purpose of evaluating potential business, employment and/or investment relationships.",Confidentiality Clause,train
"The Confidentiality obligations as enumerated in Article 2 of this Agreement shall not apply in following cases: (a) Which is independently developed by Auditor or lawfully received from another, source free of restriction and without breach of this Agreement; or (b) After it has become generally available to the public without breach of this Agreement by Auditor; or (c) Which at the time of disclosure to Auditor was known to such party free of restriction and evidenced by documents in the possession of such party; or (d) Which Auditee agrees in writing is free of such restrictions. (e) Which is received from a third party not subject to the obligation of confidentiality with respect to such Information;",Confidentiality Clause,train
The obligations and restrictions imposed by this Agreement will not apply to any Confidential Information that the receiving party can establish by competent evidence acceptable under applicable law and as deemed appropriate by the competent court:  (a) is already known to the receiving party prior to the disclosing party’s disclosure;  (b) is or becomes publicly available through no fault of the receiving party;  (c) is obtained by the receiving party from a third party; or  (d) is independently developed by the receiving party without use of or reference to any Confidential Information. ,Confidentiality Clause,train
"The following types of information, however marked, are not confidential information.  Information that: • Is, or becomes, publicly available without a breach of this agreement; • Was lawfully known to the receiver of the information without an obligation to keep it confidential; • Is received from another source who can disclose it lawfully and without an obligation to keep it confidential; • Is independently developed; or",Confidentiality Clause,train
4. The above restrictions shall not apply to Confidential Information which  (a) is in the public domain or is properly in the possession of the LHT without restriction at the time of receipt hereunder;  (b) subsequently enters the public domain without breach hereof by LHT;  (c) is lawfully received from a third party without restriction on disclosure;  (d) is independently developed by LHT's personnel who have not had direct or indirect access to or knowledge of the Confidential Information; ,Confidentiality Clause,train
"3. Each of the parties agrees that it will not make use of, disseminate, or in any way disclose any Confidential Information of the other party to any person, firm or business, except to the extent necessary for negotiations, discussions and consultations with personnel or authorized representatives of the other party and any purpose the other party may hereafter authorize in writing.  Each of the parties agrees that it shall disclose Confidential Information of the other party only to those of its employees who need to know such information and who have previously agreed, either as a condition to employment or in order to obtain the Confidential Information, to be bound by terms and conditions substantially similar to those of this Agreement.",Confidentiality Clause,dev
"The obligations of the Receiving Party pursuant to the provisions of this Agreement shall not apply to any Confidential Information that – 8.1 is or was known to, or in the possession of the Receiving Party prior to disclosure thereof by the Disclosing Party; 8.2 is or becomes publicly known, otherwise than as a result of a breach of this Agreement by the Receiving Party; 8.3 is developed independently of the Disclosing Party by the Receiving Party in circumstances that do not amount to a breach of the provisions of this Agreement;",Confidentiality Clause,test
The receiving party will not be liable for the disclosure of any Confidential Information which is: (a) rightfully in public domain other than by a breach of duty to the disclosing party (b) rightfully received from a third party without any obligation of confidentiality,Confidentiality Clause,test
"These restrictions on the use or disclosure of CONFIDENTIAL INFORMATION shall not apply to any CONFIDENTIAL INFORMATION: i. which is independently developed by Vendor or is lawfully received free of restriction from another source having the right to so furnish such CONFIDENTIAL INFORMATION; ii. after it has become generally available to the public without breach of this Agreement by Vendor; iii. which, at the time of disclosure to Vendor, was known to Vendor to be free of restriction; or iv. ",Confidentiality Clause,train
"4. To the extent the Evaluation Material includes or otherwise involves intellectual property, technical data, technology, processes, applications for patents, trade secrets or know-how, disclosure thereof to Participant or its Representatives by or on behalf of Originator, Target or any of their respective Representatives shall not be construed as the grant of any license or of any right to use the same, except for the sole purpose of evaluating and completing a potential Transaction.",Confidentiality Clause,train
(a) Each of PictureTel and Polycom shall  (i) use the Confidential Information obtained from the other solely for the purpose of evaluating a possible Transaction and for no competitive or other purpose; ,Confidentiality Clause,test
"2. SUPPLIER agrees to hold all Confidential Information in strict confidence and will not disclose or use the Confidential Information for its benefit or the benefit of any other company or entity anywhere in the world or any other purpose other than for the Purpose set forth in the recitals herein. 3. Confidential Information does not include the following: a) information which was already in the public domain at the time of disclosure; or b) information which, though originally confidential, subsequently becomes part of the public domain through no fault of SUPPLIER; or c) information which was properly in SUPPLIER’s possession prior to receipt thereof from GK, as reasonably evidenced by written records or other writings, or by actual use by SUPPLIER prior to the disclosure by GK. In each case, the  (i) burden of proof shall lie with SUPPLIER to demonstrate that one of the above-listed exceptions applies and Sign:_____________  (ii) SUPPLIER shall notify GKT in writing of SUPPLIER’s intent to make any disclosure based on one of the above-listed exceptions at least 30 days in advance (including a description of the information to be disclosed and the basis for the claimed exception). 4. SUPPLIER shall maintain all Confidential Information received from GK in the same manner that the SUPPLIER maintains its own Confidential Information, provided that the standard of care required shall be at least a reasonable standard.  Information disclosed in other that written form shall be considered Confidential Information only to the extent GK summarizes the same in a written form that is transmitted to SUPPLIER within thirty (30) calendar days of the non-written disclosures. 5. Any disclosure of Confidential Information shall be limited SUPPLIER’s employees and who have a need to use or study such Confidential Information for the Purpose.  SUPPLIER shall advise its employees and agents of its obligations pursuant to this Agreement, but SUPPLIER shall remain responsible to ensure their compliance. 6. All Confidential Information is and shall remain the property of GK.  At any time that GKT may request, SUPPLIER shall return the Confidential Information to GK and shall certify in writing that all copies thereof in its possession have been destroyed. 7. Confidential Information may only be used by SUPPLIER in connection with the pursuance of the Purpose set forth in the recitals herein.",Confidentiality Clause,train
"“Confidential Information” means ISCA’s information comprising all data and information relating to the business, technical, and other operations of ISCA, and all other information of ISCA whatsoever obtained by Vendor pursuant to, by virtue of, or in the course of negotiating or performing the Services or an agreement for the Services, including where applicable (without any limitation): (a) all technical information, data, databases, source codes, object codes, know-how, processes, formulae, designs, drawings, documents, specifications, manuals, inventions, images, and all information comprised in and/or concerning equipment, systems, research, prototypes, samples, products, or services; (b) all of ISCA’s plans, models, proposals, ideas, functionalities, workflow, work processes, network and system information, including those relating to the Services; (c) all marketing, sales, business, financial, operational, commercial, and human resource information, including financial data and business plans; (d) all contractual arrangements, forecasts, accounting and tax records, strategies, models, product and service information; (e) all ISCA IPR; (f) all of Vendor’s proposals to ISCA for the Services, and ISCA’s requirements, requests, instructions, and specifications to Vendor for the Services; (g) all communication between Vendor and ISCA; (h) all customer, client, and employee information and personal data; (i) any other proprietary information; and (j) all other information, data, experience and expertise, materials and diskettes stamped or marked as ""confidential"" of whatever kind, whether written, electronic or in oral form, which is either directly or indirectly disclosed to the Vendor or received by the Vendor from ISCA and/or its employees, advisors or consultants, whether or not such information belongs to ISCA, or to a third party.",Confidentiality Clause,train
"The Recipient agrees to destroy all documents, memoranda, notes and other writings whatsoever prepared by the Recipient or its employees or representatives based on the information contained in the Confidential Information (except for references or summaries appearing in minutes or corporate records).",Confidentiality Clause,test
"In consideration of the Disclosing Party providing Confidential Information, at its discretion, to the Receiving Party, the Receiving Party shall: 2.1.1 treat all Confidential Information as secret and confidential; 2.1.2 have in place and maintain proper security measures and procedures to protect the confidentiality of the Confidential Information (having regard to its form and nature); 2.1.3 not disclose or permit the disclosure of any of the Confidential Information to any other person without obtaining the prior written consent of the Disclosing Party or, if relevant, other owner or except as expressly set out in this Agreement; 2.1.4 not transfer any of the Confidential Information outside the [United Kingdom]; 2.1.5 not use or exploit any of the Confidential Information for any purpose whatsoever other than the Permitted Purpose; and",Confidentiality Clause,dev
"The obligations of confidentiality in Clause 3 above shall not apply:‐ (a) to any portion of Confidential Information where the recipient can demonstrate that the Confidential Information concerned:‐ (i) is or has become publicly known through no fault of the recipient, its employees, agents and sub‐contractors; or (ii) is lawfully received from an independent third party without any restriction and without any obligation of confidentiality; or (iii) is already known to the recipient with no obligation of confidentiality at the date it was disclosed by or obtained from the disclosing party; or (iv) is disclosed without restriction by the disclosing party to any third party. (b) to any development made by the recipient which is independently developed by the recipient without access to or use of the disclosing party's Confidential Information.",Confidentiality Clause,train
"(b) Seller will keep confidential and will not for a period of three (3) years after the execution of this Agreement, directly or indirectly, divulge to anyone, use or otherwise appropriate any of the Confidential Information for any reason or purpose whatsoever except to authorized representatives of Purchasers or the Parent.",Confidentiality Clause,dev
"9.1 All Confidential Information provided by the Disclosing Party remains its property and the Receiving Party obtains no right of any kind to any Confidential Information provided to it. 9.2  This Agreement is not intended to and does not grant, expressly or by implication, any right or license to any permit, patent, trademark, copyright, trade secret, improvement, or any other intellectual property right or similar proprietary right of any kind that the other Party may possess.",Confidentiality Clause,test
"However, this obligation shall not apply to any information, knowledge, data and/or know-how which: (a) Is or hereinafter becomes a part of the public knowledge through no fault of investor; or (b) investor can demonstrate was in its possession prior to the time of disclosure by TTI; or (c) investor can demonstrate was received by it from a third party who has not received the same from TTI; or",Confidentiality Clause,train
"Further, the Receiving Party shall be free to use for any purpose the residuals resulting from access to or work with the Confidential Information of the Disclosing Party, provided that the Receiving Party shall not disclose the Confidential Information except as expressly permitted pursuant to the terms of this Agreement. ",Confidentiality Clause,train
"Upon the termination of this Agreement, Recipient shall promptly return to MS.  or certify destruction of, all full or partial copies of the Product and related materials provided by MS. ",Confidentiality Clause,train
"2.1 Information, documents, software, objects and other materials to be kept secret (hereinafter: ""confidential information"") shall be designated as such in writing by the disclosing party.  Written designation shall be in the form of an unmistakable annotation such as secret, confidential, for restricted internal access only, etc.  Orally given information need only be kept secret if designated as confidential information at the time of its disclosure and supplied in addition within 14 (fourteen) days to the receiving party in summarised written form marked as confidential.",Confidentiality Clause,train
"No license to the receiving party under any trade secrets or patents or otherwise with respect to any of the Proprietary Information is granted or implied by conveying proprietary Information or other information to such party, and none of the information transmitted or exchanged shall constitute any representation, warranty, assurance, guaranty or inducement with respect to the infringement of patents or other rights of others.",Confidentiality Clause,test
"The Information is and will at all times remain the exclusive property of the University and nothing in this Agreement grants the Recipient any right, title, interest or licence, implied or otherwise, in or to the Information.",Confidentiality Clause,train
The information also cannot be called Proprietary in cases where the Investor can prove that it was created by himself or herself without resorting to the Proprietary Information.,Confidentiality Clause,train
"7. The Recipient will, on request from the other party, return all copies and records of the Confidential Information disclosed by the other party to the Recipient and will not retain any copies or records of the Confidential Information disclosed by the other party.",Confidentiality Clause,train
"2. Exclusions. “Confidential Information” under this Agreement shall not include any information that  (i) is or becomes publicly available through no wrongful act of Recipient;  (ii) was known by Recipient prior to disclosure by Discloser, as evidenced by tangible records; (iii) becomes known to Recipient after disclosure from a third party having an apparent bona fide right to disclose it without any confidentiality obligation; ",Confidentiality Clause,train
"The duty of confidentiality does not apply to information - that the receiving contractual partner was already in possession of when the information was passed on, - that was published when or after it was disclosed without being in breach of this Non-Disclosure Agreement, - that a contractual partner received legally from a third party where there was no duty of confidentiality, - that a contractual partner develops independently of the confidential information after this Agreement has come into force,",Confidentiality Clause,train
"2. Vendor agrees not to use, or permit others to use, the Proprietary Information, other than for the purpose of monitoring sales through distribution. ",Confidentiality Clause,train
"a) Confidential Information shall be kept in the strictest confidence without limitation of time, and shall not be disclosed to any Third Party; b) Confidant shall restrict access to Confidential Information only to its employees with a need to know to carry out the Permitted Use, and prior to disclosing same, each such employee shall be made aware of the terms and conditions of this Agreement; and",Confidentiality Clause,dev
"In the event that Recipient or its Representatives are requested or required (by oral questions, interrogatories, requests for information or documents in legal proceedings, subpoena, civil investigation demand or other similar process) or required by the rules of any relevant stock exchange or other relevant regulatory authority to disclose any Proprietary Information, Recipient or its Representatives shall provide the Disclosing Party with prompt notice of any such request or requirement so that the Disclosing Party may seek a protective order or other appropriate remedy and/or waive compliance with the provisions of this Agreement. ",Confidentiality Clause,train
"""Confidential Information"" includes, without limitation, information relating to released or unreleased Disclosing Party software or hardware products, the marketing or promotion of any Disclosing Party product, Disclosing Party's business policies or practices, and information received from others that Disclosing Party is obligated to treat as confidential. ",Confidentiality Clause,train
"The Disclosee will procure that prior to the disclosure to any other person (including any professional advisor) of any Confidential Information, such other person is made aware of the provisions of this Agreement and the fact that the Disclosee will be liable.",Confidentiality Clause,test
"Investor shall keep the Confidential Information permanently and strictly confidential, and not to disclose or divulge any Confidential Information to, or reproduce any Confidential Information for the benefit of any person or entity other than the Investor’s employees, representatives, consultants, and agents who are actively and directly participating in the analysis of the Development, and in such cases only to the extent reasonably required for such analysis.  The Investor also agrees to inform all such employees, representatives, consultants, and agents of the confidential nature of the Confidential Information, to provide them with a copy of this Agreement, to obtain their agreement to act in accordance with the terms and conditions of this Agreement, and to take such other action as may be reasonably necessary to cause such employees to comply with these confidentiality provisions.  Investor is strictly prohibited from publishing any news release, public announcement, denial or confirmation with respect to the Development, this Agreement or any information about the Property.  The Investor agrees to be fully responsible for any breach of this Agreement caused by such employees, representatives, consultants, and agents. 2. LIMITATION ON USE.  Investor’s use of the Confidential Information shall solely be for the purpose of evaluating the Property and the Development.  If the Investor elects not to proceed with the Development, or if the undersigned is informed that the Property is no longer available for purchase or if the Investor is otherwise requested by the Owner to return the Confidential Information, the Investor will promptly return all Confidential Information (and all reproductions or destroy electronic copies thereof if any);",Confidentiality Clause,dev
"3. Recipients shall use Confidential Information solely for the purpose (the ""Permitted Purpose"") specified at the end of this Agreement.",Confidentiality Clause,test
"6. It is understood that nothing herein shall be deemed to constitute, by implication or otherwise, the grant to RECIPIENT of any license or other rights under any patent, patent application, or other intellectual property right or interest belonging to PROVIDER, or as permitting RECIPIENT to unfairly obtain the right to use any CONFIDENTIAL INFORMATION which becomes publicly known through an improper act or omission on its part.",Confidentiality Clause,train
"As used in this Agreement, “Confidential Information” means all information whether of a technical, business, financial or other nature (including, without limitation, trade secrets, know-how and information relating to the technology, customers, business plan, copyrights, trademarks, patents, promotional and marketing activities, finances and other business affairs) that is or may be disclosed or imparted by one Party to the other. ",Confidentiality Clause,train
"Recipient warrants that it will take all necessary cautions to prevent the unauthorized use, disclosure, publication or dissemination of Confidential Information. ",Confidentiality Clause,test
"1. This Agreement shall apply to:  (a) confidential or proprietary exchanged material and information (in written, taped or computerized form or format) that is clearly and prominently marked ""Proprietary or ""Confidential"" or that is not so marked but, by its nature, is such that it reasonably should be held in confidence, including, but not limited to, technical, developmental, marketing, editorial, sales, operating, performance, cost, know-how, computer programming techniques, and any new or planned programs and services; ",Confidentiality Clause,dev
"PROPRIETARY INFORMATION - any information disclosed by one PARTY to the respective other PARTY, which is transferred: (a) by means of documents including, but not limited to, agreements, drawings or pictures, designated as confidential at the time of disclosure and marked accordingly; (b) any specimen, physical item or any other object, whether it be marked ""confidential"" or not;",Confidentiality Clause,train
"3. The Receiving shall use the Confidential information only for the Purpose and not disclose any of the Confidential Information to any third party without the Disclosing Party’s prior written consent, and in addition to the same the Receiving Party will only share such Confidential Information with its internal employees only and strictly on a need to know basis.",Confidentiality Clause,train
"In the event that the Recipient is legally required to disclose any Confidential Information, the Recipient must immediately notify the Discloser of that fact.",Confidentiality Clause,test
"Recipient will maintain in confidence and will not disclose, disseminate or use any Confidential Information belonging to and/or related to Society, whether or not in written form. ",Confidentiality Clause,train
"(b) A ""Representative"" of a Party includes any officer, director, shareholder, employee, advisor, attorney, consultant or agent of such Party. 2. USE OF EVALUATION MATERIAL.  Any Evaluation Material provided to the Recipient hereunder will be used by the Recipient and its Representatives solely for the purpose of evaluating the Possible Transaction and will not be used by the Recipient in any way detrimental to the Provider or its stockholders.  The Recipient will maintain the strict confidentiality of any Evaluation Material provided to it or any of its Representatives by the other Party or any of the other Party's Representatives and will not disclose any part of it to any other person; provided, however, that it may disclose any such Evaluation Material or portions thereof to those of its Representatives who need to know such information in order to assist the Recipient in evaluating the advisability of entering into the Possible Transaction and it may disclose any such Evaluation Material in accordance with Paragraph 5 hereof.",Confidentiality Clause,train
2.3. Neither Party will disclose the fact of existence of this Agreement without prior approval from the other Party.,Confidentiality Clause,train
"The term “Evaluation Materials” includes information furnished to you orally or in writing (whatever the form or storage medium) or gathered by inspection, and regardless of whether such information is specifically identified as “confidential”. ",Confidentiality Clause,test
"i) “Confidential Information” refers to the following items Discloser discloses to the Recipient: (1) Any information that is in written, graphic, machine readable, or other tangible form, and that Discloser designates as “Confidential, “specifically including, but not limited to, the BWC Information Systems Documentation containing file specifications and data definitions for files and reports which will be utilized under the contract to be awarded under RFP CSP903918; (2) Any oral or visual information Discloser designates as “Confidential” at the time of disclosure;",Confidentiality Clause,train
"As used in this Agreement, the term ""Confidential Information"" means any information or compilation of information not generally known to the public or the industry, that is proprietary or confidential to the Purchaser, its Affiliates and/or those doing business with the Purchaser and/or its Affiliates, including but not limited to know-how, process, techniques, methods, plans, specifications, trade secrets, patents, copyrights, supplier lists, customer lists, mailing lists, financial information, business plans and/or policies, methods of operation, sales and marketing plans and any other information acquired or developed by Ermilio in the course of his past, present and future dealings with the Purchaser and its Affiliates, which is not readily available to the public.",Confidentiality Clause,train
"No information will be regarded as CONFIDENTIAL INFORMATION if the Party to which it is disclosed can show by competent proof that such information (a) was at the time of disclosure, or subsequently became, through no fault of the receiving Party, known to the general public through publication or otherwise; or (b) was, subsequent to disclosure to a Party, lawfully and independently received by that Party from a third party who had the right to disclose it without restriction. Specific aspects or details of CONFIDENTIAL INFORMATION shall not be deemed to be within the public domain or in the possession of a Party merely because the CONFIDENTIAL INFORMATION is embraced by general disclosures in the public domain or in the possession of a Party.  In addition, any combination of CONFIDENTIAL INFORMATION shall not be considered in the public domain or in the possession of a Party merely because individual elements thereof are in the public domain or in the possession of that Party unless the combination and its principles are in the public domain or in the possession of that Party. 2. Any Party, at its discretion, may disclose to another Party any CONFIDENTIAL INFORMATION that the disclosing Party, in its reasonable judgment, believes is sufficient to enable the receiving Party to arrive at conceptions, ideas, innovations, discoveries, inventions, compositions, biological material, biological methods, whether or not patentable or susceptible to any other form of legal protection, during performance Under the IRA.  Any Party may also cause such disclosures to be made to the other Party on behalf of the disclosing Party by third parties who are Under obligations of confidentiality to the disclosing Party; such disclosures from third parties shall be deemed to be disclosures by the disclosing Party. 3. In consideration of each and every disclosure of CONFIDENTIAL INFORMATION, the Parties agree to:",Confidentiality Clause,train
"The Recipient shall protect and safeguard the confidentiality of all Confidential Information with at least the same degree of care as the Recipient would protect its own confidential information, but in no event with less than a commercially reasonable degree of care; not use the Confidential Information, or permit it to be accessed or used, for any purpose other than the Purpose, including without limitation, to reverse engineer, disassemble, decompile or design around confidential intellectual property; not disclose any such Confidential Information to any person or entity, except to the Recipient's Representatives who need to know the Confidential Information in relation to the Purpose and are informed of the obligations hereunder and agree to abide by the same. ",Confidentiality Clause,train
"Each party shall disclose Confidential Information only to those officers, directors, employees and contractors who are required to have the information in order to evaluate or engage in discussions concerning the contemplated business relationship, and such party shall remain responsible for compliance with the terms of this Agreement by its officers, directors, employees and contractors.",Confidentiality Clause,test
"6. Upon the request of Casino, Receiving Party shall immediately return all Confidential Information received in written or tangible form, including all notes, copies, or media containing such Confidential Information. ",Confidentiality Clause,test
"2. For purposes of this Agreement, Proprietary Information shall mean, without limitation, computer programs, code, algorithms, names and expertise of employees and consultants, formulas, processes, inventions, schematics and other technical, business, financial, pricing and product development plans, forecasts and strategies, together with any analysis or tangible embodiments of the Disclosing Party's Proprietary Information created by the Receiving Party. ",Confidentiality Clause,dev
"The obligation of confidentiality set out in this Agreement shall not apply to any Confidential Information that: a) was known to the Receiving Party prior to such disclosure by the Disclosing Party, as evidenced by documentary or other physical evidence; b) was public knowledge at the time of such disclosure to the Receiving Party, or becomes public knowledge after such disclosure, through no action or omission by or on behalf of the Receiving Party; c) is lawfully disclosed or made available to the Receiving Party by a third party having no obligation to the Disclosing Party to maintain the confidentiality of such information;",Confidentiality Clause,dev
"1. The undersigned will hold Confidential Information in strict confidence and will not, nor will it permit any agent, servant or employee to, copy, reproduce, sell, assign, license, market, transfer or otherwise dispose of, give or disclose Confidential Information to any person, firm or corporation including any partner or employee of Goldman Sachs who does not have a need to know the Confidential Information.",Confidentiality Clause,train
"A. “Confidential Information” as used herein any and all confidential and/or proprietary information concerning the Originating Party’s business and such party’s trade secrets, proprietary data and business data, whether oral or written, tangible or intangible, which is disclosed to or learned by the Receiving Party in the course of the Discussions or otherwise while working with the Originating Party, and/or discovered, developed, conceived, originated, appreciably modified, or prepared in scope of Receiving Party’s relationship with the Originating Party, including but not limited to the following: 1. Business plans, acquisition plans, expansion plans, business development plans; 2. Financial information, personnel information, training information, management systems and recruitment strategies; 3. All commercial data relating to the business and products of Originating Party; 4. Identity and contact information regarding vendors and suppliers; 5. Specifications regarding  Originating Party’s products (including inventions, formulas, machinery and equipment, use of raw materials); 6. Pricing and marketing/business strategies; 7. Details regarding manufacturing processes and techniques; 8. Customer identities and customer contact information; 9. Customer credit information; 10. Information regarding customer preferences and particularized needs; 11. Product development strategies, expansion plans, and internal business plans, procedures, or methods of operation; and",Confidentiality Clause,train
"4 - The Receiving Party undertakes during the term of this Agreement and for a period of five (5) years after the date of its expiry or termination: - to safeguard Confidential Information as it does for its own proprietary information of like importance, but at least with a reasonable degree of care, - to use Confidential Information only for the Purpose and to divulge Confidential Information to its personnel for said Purpose only and on a ""need to know"" basis, - not to duplicate or otherwise reproduce Confidential Information except for such copies as the Receiving Party may require for the Purpose as aforesaid, provided that all copies shall contain the same proprietary and confidential notices and legends as appear on the original Confidential Information, - not to divulge Confidential Information to any third party for any purpose, unless and until expressly authorized in writing to do so by the Disclosing Party, - not to reverse-compile, reverse-assemble or reverse-engineer Confidential Information or any part thereof, unless directed to do so by the disclosing Party as proven by appropriate documentation",Confidentiality Clause,train
"The Confidential Information shall be used by H.I.G. solely for the purpose of evaluating the Transaction, and shall not be otherwise used without COMVERGE’s prior written consent. ",Confidentiality Clause,train
"(c) Recipient shall keep the Confidential Information confidential at all times and shall not disclose the Confidential Information to any person including its employees except to its employees, representatives, advisors and agents who have a need to know such information in connection with assisting Recipient for the purposes set forth in paragraph 2(b) above and who are required to keep such information confidential.",Confidentiality Clause,train
"5. The Confidential Information shall remain at all times the property of the Company.  No rights to use, license, or otherwise exploit the Confidential Information are granted to the Recipient, by implication or otherwise, by virtue of Confidential Information being made available to the Recipient or any of the Recipient’s Representatives.",Confidentiality Clause,test
"(a) Nothing in this Agreement shall be construed as granting or conferring any rights, interests or intellectual property rights by assignment, license or otherwise, relating to any Confidential Information in or for any intellectual property, invention, discovery or improvement or derivative made, conceived or acquired prior or subsequent to the Effective Date. ",Confidentiality Clause,test
" Volunteer, Trainer or Evaluator agrees not to, without prior written consent from Companion Paws and The LifeLine Canada Foundation, divulge any Confidential Information to third parties or copy documents containing any Confidential Information. ",Confidentiality Clause,train
"(a) Receiving Party shall: (i) Refrain from disclosing any Confidential Information of the Disclosing Party to third parties for ten (10) years following the date that Disclosing Party first discloses such Confidential Information to Receiving Party, for any reason whatsoever, except as expressly provided in Sections 2(b) and 2(c) of this Agreement; (ii) Take reasonable security precautions, at least as great as the precautions it takes to protect its own Confidential Information, but no less than reasonable care, to keep confidential the Confidential Information of the Disclosing Party; (iii) Refrain from disclosing, reproducing, summarizing and/or distributing Confidential Information of the Disclosing Party except in pursuance of Receiving Party’s business relationship with Disclosing Party, and only as otherwise provided hereunder; and (iv) Refrain from reverse engineering, decompiling or disassembling any software code and/or pre-release hardware devices disclosed by Disclosing Party to Receiving Party under the terms of this Agreement, except as expressly permitted by applicable law.",Confidentiality Clause,train
"2. Subject to the provisions of Clauses 4 and 7 hereof, the Receiving Party undertakes: (a) to keep confidential and not disclose to any third party, except with the written permission of the Disclosing Party, any part, or the whole, of any Proprietary Information disclosed to it under this Agreement; (b) not to copy Proprietary Information disclosed to it under this Agreement except as is reasonably necessary for the Purpose; (c) not to use Proprietary Information disclosed to it under this Agreement other than for the Purpose, except with the prior written permission of the Disclosing Party;",Confidentiality Clause,train
"“Confidential Information” under this Agreement consists of: (i) all information disclosed by any Participating Entity, or any of its employees, directors, officers, affiliates, partners, agents, advisors or other representatives (“Representatives”) pursuant to that Participating Entity’s participation in or contribution to the development or implementation of a Cyber Mutual Assistance Program, including any Participating Entity’s request for or provision of cyber mutual assistance, whether disclosed prior to or following the execution of this Agreement; (ii) any information or documentation produced by a Participating Entity, or any of its Representatives, under any Cyber Mutual Assistance Program or related to a specific request for or response to cyber mutual assistance, including any analysis of such information, and whether produced prior to or following the execution of this Agreement; (iii) any aggregation, consolidation, or listing of information or documentation disclosed by one or more Participating Entities, or any of their respective Representatives, pursuant to the development or implementation of a Cyber Mutual Assistance Program including any Participating Entity’s request for or provision of cyber mutual assistance; and (iv) all observations of equipment (including computer screens) and oral disclosures related to the development of any Cyber Mutual Assistance Program or a specific request for or response to cyber mutual assistance, including the systems, operations, and activities of each Participating Entity, whether such observations or oral disclosures were made prior to or following the execution of this Agreement.",Confidentiality Clause,train
"“Confidential Information” means any information disclosed to the Contractor by the CAO or the House, including, but not limited to:  (a) security practices, operational information, business plans, customer data, customer lists, customer names, designs, documents, drawings, engineering information, hardware configuration information, processes, products, product plans, research, services, specifications, software, source code and trade secrets; and  (b) any other information designated (orally or in writing) as “confidential,” “proprietary” or of such nature that a reasonable person would understand such information to be confidential to the CAO or the House.",Confidentiality Clause,test
"The Receiving Party will:  (a) limit disclosure of any Confidential Information to its directors, officers, employees, agents or representatives (collectively “Representatives”) who have a need to know such Confidential Information in connection with the current or contemplated business relationship between the parties to which this Agreement relates, and only for that purpose; ",Confidentiality Clause,train
"Proprietary Information shall not include information that:  (i) is or becomes generally available to the public other than as a result of any disclosure or other action or inaction by Receiving Party in breach of this Agreement (including any disclosure or other action or inaction by Representatives of Receiving Party that would constitute a breach of this Agreement if undertaken by Receiving Party itself);  (ii) is or becomes known or avai1able to Receiving Party or any of its Representatives on a non-confidential basis from a source (other than Disclosing Party or any of its subsidiaries, affiliates or Representatives) that, to the best of the knowledge of Receiving Party, is not prohibited from disclosing such Proprietary Information to Receiving Party by a contractual, legal or fiduciary obligation; or  (iii) is or was independently developed by Receiving Party or any of its Representatives without violation of any obligation under this Agreement.",Confidentiality Clause,dev
The aforesaid restrictions on the parties shall not apply to any Proprietary/Confidential Information which i. Can be proved by documentary evidence to be such Proprietary/Confidential Information that was already in the possession of the receiving party and at its free disposal before the disclosure hereunder to it; ii. Is received by the receiving party from third parties without accompanying secrecy or confidentiality obligations and not in violation of any duty of confidence under this agreement; iii. Is independently developed by the receiving party;,Confidentiality Clause,train
"For avoidance of doubt, in this Agreement “third party” means any party other than Client and AfriGIS and their holding and subsidiary companies or agents.",Confidentiality Clause,test
"b. For the purposes of this Agreement, Non-Public Information shall not include: i. Information that is or becomes available in the public domain through no fault or action of Data Recipient; ii. Information that was or is acquired by Data Recipient from a source other than WECC in a manner which is not otherwise subject to confidentiality restrictions; or",Confidentiality Clause,train
"The term ""Evaluation Materials"" does not include information which  (i) is or becomes generally available to the public other Page 2 than as a result of a disclosure by you or your representatives,  (ii) was or becomes available to you on a non-confidential basis from a source other than the Company or its representatives, provided that such source is not prohibited from disclosing such information to you by a contractual, legal or fiduciary obligation to the Company or its representatives, or  (iii) is independently developed by you.",Confidentiality Clause,train
"(a) Neither party shall without the prior written consent of the other party disclose to a third party any aspect of the commercial relationship between the parties including, but not limited to, pricing, items or quantities offered or sold, payment terms, production methods or schedules, delivery locations and means and suppliers. ",Confidentiality Clause,train
